Course,Course Number,Course Title,Credit Hours,Instructor,Days,Location,Start Time,End Time
STS,1010,Survey of Science and Technology in Society,3,Elizabeth Anderson Stansell,MWF,Online,12:20:00,13:10:00
STS,1010,Survey of Science and Technology in Society,3,Chelsea Marie Clarey,MWF,Online,13:25:00,14:15:00
STS,1010,Survey of Science and Technology in Society,3,Tareva Leselle Johnson,TR,Online,11:00:00,12:15:00
STS,1010,Survey of Science and Technology in Society,3,Nancy Paxton-Wilson,TR,Online,8:00:00,9:15:00
STS,1010,Survey of Science and Technology in Society,3,Philip D Randall,TR,Online,8:00:00,9:15:00
STS,1010,Survey of Science and Technology in Society,3,David Charles Foltz,TR,Cooper Library,14:00:00,15:15:00
STS,1010,Survey of Science and Technology in Society,3,Megan MacAlystre,MWF,Online,13:25:00,14:15:00
STS,1010,Survey of Science and Technology in Society,3,Alexander John Billinis,MWF,Hendrix Student Center,8:00:00,8:50:00
STS,1010,Survey of Science and Technology in Society,3,Anne McMahan Grant,TR,Online,15:30:00,16:45:00
COMM,1500,Introduction to Human Communication,3,Daniel Leland Fecher,MW,Online,10:10:00,11:00:00
COMM,1500,Introduction to Human Communication,3,Daniel Leland Fecher,MW,Online,8:00:00,8:50:00
COMM,1500,Introduction to Human Communication,3,Daniel Leland Fecher,MW,Online,9:05:00,9:55:00
COMM,1500,Introduction to Human Communication,3,Marianne Herr Glaser,MW,Online,10:10:00,11:00:00
COMM,1500,Introduction to Human Communication,3,Marianne Herr Glaser,MW,Online,11:15:00,12:05:00
COMM,1500,Introduction to Human Communication,3,Vanessa Anne Condon,TR,Online,8:00:00,8:50:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Collge of Business,8:00:00,8:50:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Watt Family Innovation Center,9:05:00,9:55:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Hendrix Student Center,11:15:00,12:05:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Biosystems Research Complex,11:15:00,12:05:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,TR,Collge of Business,8:00:00,8:50:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,TR,Watt Family Innovation Center,9:30:00,10:20:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,TR,Collge of Business,8:00:00,8:50:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,TR,Online,8:00:00,8:50:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,TR,Sirrine Hall,12:30:00,13:20:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,TR,Dillard Building,9:30:00,10:20:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Sirrine Hall,8:00:00,8:50:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Lowry Hall,10:10:00,11:00:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Hendrix Student Center,10:10:00,11:00:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Lowry Hall,11:15:00,12:05:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Hendrix Student Center,8:00:00,8:05:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Collge of Business,11:15:00,12:05:00
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Online,8:00:00,8:50:00
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Online,9:05:00,9:55:00
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Online,11:15:00,12:05:00
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Online,9:00:00,9:55:00
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Collge of Business,8:00:00,8:50:00
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Online,8:00:00,8:50:00
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Sirrine Hall,9:05:00,9:55:00
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Online,10:10:00,11:00:00
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Online,9:05:00,9:55:00
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Online,10:10:00,11:00:00
COMM,1501,Introduction to Human Communication Laboratory,0,Vanessa Anne Condon,TR,Hendrix Student Center,9:30:00,10:20:00
COMM,1501,Introduction to Human Communication Laboratory,0,Vanessa Anne Condon,TR,Sirrine Hall,14:00:00,14:50:00
COMM,1501,Introduction to Human Communication Laboratory,0,Vanessa Anne Condon,TR,Watt Family Innovation Center,12:30:00,13:20:00
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,TR,Freeman Hall,9:30:00,10:20:00
ENGL,2120,World Literature,3,Kenneth Michael Tuite,TR,Online,8:00:00,9:15:00
