Course,Course Number,Course Title,Credit Hours,Instructor,Days,Location,Start Time,End Time,Start TIme,End Time
MATH,3110,Linear Algebra,3,Nantsoina Cynthia Ramiharimanana,MFW,Daniel Hall,12:20:00 PM,1:10:00 PM,,
MATH,3110,Linear Algebra,3,Benjamin Kibort Breen,TR,Online,12:30:00 PM,1:45:00 PM,,
MATH,3110,Linear Algebra,3,Benjamin Kibort Breen,TR,Online,12:30:00 PM,1:45:00 PM,,
STAT,3090,Introductory Business Statistics,3,Marwah Mahmoud Soliman,MWF,Dillard Building,8:00:00 AM,8:50:00 AM,,
STAT,3090,Introductory Business Statistics,3,Shuai Wei,MWF,Online,9:05:00 AM,9:55:00 AM,,
STAT,3090,Introductory Business Statistics,3,Marwah Mahmoud Soliman,MWF,Dillard Building,10:10:00 AM,11:00:00 AM,,
STAT,3090,Introductory Business Statistics,3,Caroline Kerfonta,MWF,Dillard Building,11:15:00 AM,12:05:00 PM,,
STAT,3090,Introductory Business Statistics,3,Molly Adams Honecker,MWF,Online,12:20:00 PM,1:10:00 AM,,
STAT,3090,Introductory Business Statistics,3,Sarah M Kelly,MWF,Online,1:25:00 PM,2:15:00 PM,,
STAT,3090,Introductory Business Statistics,3,Tiantian Yang,MW,Online,2:30:00 PM,3:45:00 PM,,
STAT,3090,Introductory Business Statistics,3,Sean Walker Ingimarson,MW,Online,4:00:00 PM,5:15:00 PM,,
STAT,3090,Introductory Business Statistics,3,April Thomas,TR,Online,8:00:00 AM,9:15:00 AM,,
STAT,3090,Introductory Business Statistics,3,April Thomas,TR,Online,9:30:00 AM,10:45:00 AM,,
PHYS ,2210,Physics with Calculus II,3,Jason Stratford Brown,MWF,Online,12:20:00 PM,1:10:00 PM,,
PHYS ,2210,Physics with Calculus II,3,Jason Stratford Brown,MWF,Online,1:25:00 PM,2:15:00 PM,,
PHYS ,2210,Physics with Calculus II,3,Sean D Brittain,TR,Hendrix Student Center,8:00:00 AM,9:15:00 AM,,
PHYS ,2210,Physics with Calculus II,3,Murray S Draw,MWF,Freeman Hall,10:10:00 AM,11:00:00 AM,,
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,M,Online,3:35:00 PM,6:25:00 PM,,
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,M,Online,6:40:00 PM,9:30:00 PM,,
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,T,Online,11:00:00 AM,1:50:00 PM,,
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,T,Online,2:10:00 PM,5:00:00 PM,,
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,T,Online,5:20:00 PM,8:10:00 PM,,
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,W,Online,2:30:00 PM,5:20:00 PM,,
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,W,Online,6:00:00 PM,8:50:00 PM,,
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,R,Online,12:30:00 PM,3:20:00 PM,,
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,R,Online,9:30:00 AM,12:20:00 PM,,
STS,1010,Survey of Science and Technology in Society,3,Megan Palmer,TR,Online,11:00:00 AM,12:15:00 PM,,
STS,1010,Survey of Science and Technology in Society,3,Scott E Brame,TR,Online,9:30:00 AM,10:45:00 AM,,
STS,1010,Survey of Science and Technology in Society,3,Elizabeth Anderson Stansell,MWF,Online,12:20:00 PM,1:10:00 PM,,
STS,1010,Survey of Science and Technology in Society,3,Chelsea Marie Clarey,MWF,Online,1:25:00 PM,2:15:00 PM,,
STS,1010,Survey of Science and Technology in Society,3,Tareva Leselle Johnson,TR,Online,11:00:00 AM,12:15:00 PM,,
STS,1010,Survey of Science and Technology in Society,3,Nancy Paxton-Wilson,TR,Online,8:00:00 AM,9:15:00 AM,,
STS,1010,Survey of Science and Technology in Society,3,Philip D Randall,TR,Online,8:00:00 AM,9:15:00 AM,,
STS,1010,Survey of Science and Technology in Society,3,David Charles Foltz,TR,Cooper Library,2:00:00 PM,3:15:00 PM,,
STS,1010,Survey of Science and Technology in Society,3,Megan MacAlystre,MWF,Online,1:25:00 PM,2:15:00 PM,,
STS,1010,Survey of Science and Technology in Society,3,Alexander John Billinis,MWF,Hendrix Student Center,8:00:00 AM,8:50:00 AM,,
STS,1010,Survey of Science and Technology in Society,3,Anne McMahan Grant,TR,Online,3:30:00 PM,4:45:00 PM,,
COMM,1500,Introduction to Human Communication,3,Daniel Leland Fecher,MW,Online,10:10:00 AM,11:00:00 AM,,
COMM,1500,Introduction to Human Communication,3,Daniel Leland Fecher,MW,Online,8:00:00 AM,8:50:00 AM,,
COMM,1500,Introduction to Human Communication,3,Daniel Leland Fecher,MW,Online,9:05:00 AM,9:55:00 AM,,
COMM,1500,Introduction to Human Communication,3,Marianne Herr Glaser,MW,Online,10:10:00 AM,11:00:00 AM,,
COMM,1500,Introduction to Human Communication,3,Marianne Herr Glaser,MW,Online,11:15:00 AM,12:05:00 PM,,
COMM,1500,Introduction to Human Communication,3,Vanessa Anne Condon,TR,Online,8:00:00 AM,8:50:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Collge of Business,8:00:00 AM,8:50:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Watt Family Innovation Center,9:05:00 AM,9:55:00 AM,,
